Number,Name,A,B,C,D,E,SignPost,Shelter(S),Shelter(B),MapCase,SideWalk,BikeRack,News Stand,HART,Latitude,Longitude,OSM Node ID,Comments
101,ADM I,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,,,454063859,
102,Library,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,454063857,
103,ADM II,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,,,454063860,
115,Maple & Holly,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,TRUE,FALSE,FALSE,,,617066627,
116,Tennis Courts,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,TRUE,FALSE,,,617066622,
119,SOC/HMS,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,456526021,
120,CW Young Hall,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,,,573393331,
121,Cooper Hall,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,456523869,
122,Rec Center,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,456523866,
125,Business 1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,456523861,
126,Sun Dome West,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,,,456523864,
129,Business 2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,454063856,
130,Patel Ctr,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,454063855,
150,P&R Lot 18 at Baptist Student Center,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,B,FALSE,FALSE,TRUE,FALSE,,,454063844,
151,P&R Lot 18 at Par Course,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063846,
154,P&R Lot 18 at Crosswinds,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,TRUE,FALSE,,,454063842,
155,P&R Lot 18 Softball Fields,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063843,
157,P&R Lot 18 Soccer Fields,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063840,
158,P&R Lot 18 at Elm Drive,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,B,FALSE,FALSE,TRUE,FALSE,,,454063841,
161,Athletics,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063838,
162,Baseball Field,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063837,
165,Sun Dome East,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063852,
166,ERCCD,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063853,
203,Engineering,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,,,454063861,
204,Research & Development,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,,,454063862,
205,Alumni & Laurel South,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,454063869,
206,UTC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,828181805,
209,Science Center,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,1041573056,
210,removed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,,
213,The Lakes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,TRUE,,,454063884,
214,Juniper-Poplar,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,1041573063,
217,Fine Arts,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,454063883,
221,PCD I,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,1055102500,
222,PCD II,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,1055102515,
225,Eye Institute I,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063893,
226,Eye Institute II,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,454063890,
230,Hope Lodge,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,454063878,
238,47T east,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,1055080239,
239,47T west,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,1055080251,
