Number,Name,A,B,C,D,E,SignPost,Shelter(S),Shelter(B),MapCase,SideWalk,BikeRack,News Stand,HART,Latitude,Longitude,OSM Node ID,Comments
708,U. Mall to ADM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0586819,-82.4348681,1056814287,
716,UATC (HART Transfer) to ADM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0654748,-82.4299811,1056832298,
713,University Club to ADM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0612988,-82.4346213,828178924,
712,University Club to MSC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0615659,-82.4344950,828179243,
206,UTC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0580510,-82.4178021,828181805,
821,Willow Brooke,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,TRUE,28.0782938,-82.4141680,828182085,
827,Cambridgewoods Drive,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,28.0761590,-82.4141341,828182097,confirmed but Bull Runner sign has number 823 which does not exist in this file and name listed for this stop is consistent with 821
829,Sterling 42nd Street,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,TRUE,28.0720765,-82.4140796,828196741,confirmed
715,UATC (HART Transfer) to MSC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Ye,TRUE,FALSE,FALSE,TRUE,28.0668539,-82.4294859,828198460,confirm in field whether this is the correct stop may be 828188520 instead can't tell from diagram
414,Andros,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,28.0671289,-82.4131028,661059668,
162,Baseball Field,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0598216,-82.4048794,454063837,
161,Athletics,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0599226,-82.4045813,454063838,
157,P&R Lot 18 Soccer Fields,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0601332,-82.4028919,454063840,
158,P&R Lot 18 at Elm Drive,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,B,FALSE,FALSE,TRUE,FALSE,28.0601783,-82.4026042,454063841,
154,P&R Lot 18 at Crosswinds,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,TRUE,FALSE,28.0631924,-82.4026265,454063842,
155,P&R Lot 18 Softball Fields,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0635379,-82.4028841,454063843,
150,P&R Lot 18 at Baptist Student Center,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,B,FALSE,FALSE,TRUE,FALSE,28.0656023,-82.4027142,454063844,
151,P&R Lot 18 at Par Course,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0656070,-82.4028322,454063846,
446,Greek Park (westbound),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0657950,-82.4074325,454063847,
445,Lot 35 (eastbound),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,28.0656660,-82.4075048,454063849,
430,Cypress Apartments,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,28.0665471,-82.4080208,454063850,
165,Sun Dome East,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0576641,-82.4054926,454063852,
166,ERCCD,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0576856,-82.4053377,454063853,
130,Patel Ctr,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0567220,-82.4083518,454063855,
129,Business 2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0573207,-82.4096630,454063856,
102,Library,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0589585,-82.4130024,454063857,
101,ADM I,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,28.0607591,-82.4134051,454063859,
103,ADM II,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,28.0606409,-82.4134239,454063860,
203,Engineering,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,28.0580609,-82.4160442,454063861,
204,Research & Development,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,28.0577390,-82.4159423,454063862,
205,Alumni & Laurel South,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0581775,-82.4180747,454063869,
230,Hope Lodge,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0626315,-82.4196424,454063878,
217,Fine Arts,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0625997,-82.4190210,454063883,
213,The Lakes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,TRUE,28.0612476,-82.4194079,454063884,
226,Eye Institute II,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0649089,-82.4190230,454063890,
225,Eye Institute I,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0650164,-82.4188763,454063893,
311,Moffit Research,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0660137,-82.4191236,454063895,
312,Morsani Center (westbound),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0661462,-82.4192041,454063897,
305,Lot 9C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0654260,-82.4179792,454063901,
326,Laurel Garage (southbound),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0664449,-82.4177071,454063903,
325,Laurel Garage (northbound),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0664358,-82.4176215,454063906,
330,Park N Ride 43 East,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0677897,-82.4146456,454063909,
327,P&R Lot 43 Main (eastbound),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0677285,-82.4160802,454063911,
328,P&R Lot 43 Main (westbound),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,TRUE,FALSE,FALSE,28.0679291,-82.4165168,454063912,
413,Credit Union (southbound),FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0671748,-82.4133054,454063915,
401,Marshall Student Center (transfer),TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0642789,-82.4136326,454063916,
418,Epsilon Hall,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,TRUE,28.0658060,-82.4120271,454063919,
421,Holly Apartments (eastbound),FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,TRUE,FALSE,TRUE,28.0656080,-82.4112482,454063920,
425,Maple Suites,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,TRUE,FALSE,TRUE,28.0656169,-82.4094790,653972360,this location IS correct BR PDF shows it a bit east of actual location
320,Health Science Clinics (eastbound),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,No,TRUE,FALSE,FALSE,TRUE,28.0656649,-82.4247330,824795217,
319,Children's Medical Services,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0660221,-82.4245398,824795218,
316,Holly at Cypress,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,28.0661098,-82.4235501,824795219,
116,Tennis Courts,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,TRUE,FALSE,28.0647717,-82.4079661,617066622,
115,Maple & Holly,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,TRUE,FALSE,FALSE,28.0649816,-82.4082539,617066627,
346,Chiles Center / FMHI,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0687546,-82.4233954,743557416,
344,Continuing Ed,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0679783,-82.4253294,743561913,
329,Lot 44,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0676002,-82.4148343,552602135,
120,CW Young Hall,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,28.0611956,-82.4085717,573393331,
