Number,Name,lat,Latitude,lon,Longitude,OSM Node ID,A_Sequence,B_Sequence,C_Sequence,D_Sequence,E_Sequence,F_Sequence,Comment,,,
101,ADM I,28.0591688,,-82.4134026,,454063860,12,,10,18,14,17,I dragged this one to preserve the shelter info,,,
102,Library,28.0591628,,-82.4130271,,454063857,11,,9,17,13,16,I dragged this one to preserve the shelter info,,,
103,ADM II,28.0606409,,-82.4134239,,454063860,,,10,,14,,removed this summer,,,
115,Maple & Holly,28.0649816,,-82.4082539,,617066627,,,4,,,,,,,
116,Tennis Courts,28.0647717,,-82.4079661,,617066622,,,14,,,,,,,
119,SOC/HMS,28.0613281,,-82.4088507,,456526021,,,5,,,,,,,
120,CW Young Hall,28.0611956,,-82.4085717,,573393331,,,13,,,,,,,
121,Cooper Hall,28.0601637,,-82.4088376,,456523869,,,6,,,,,,,
122,Rec Center,28.0600642,,-82.408633,,456523866,,,12,,,,,,,
125,Business 1,28.058223,,-82.4088252,,456523861,,,7,,,,,,,
126,Sun Dome West,28.0582912,,-82.4085935,,456523864,,,11,,,,,,,
129,Business 2,28.0573207,,-82.409663,,454063856,,,8,,12,,,,,
130,Patel Ctr,28.056722,,-82.4083518,,454063855,13,,,,,,,,,
150,P&R Lot 18 at Baptist Student Center,28.0656023,,-82.4027142,,454063844,18,,,,,,,,,
151,P&R Lot 18 at Par Course,28.065607,,-82.4028322,,454063846,,,,,7,,,,,
154,P&R Lot 18 at Crosswinds,28.0631924,,-82.4026265,,454063842,17,,,,,,,,,
155,P&R Lot 18 Softball Fields,28.0635379,,-82.4028841,,454063843,,,,,8,,,,,
157,P&R Lot 18 Soccer Fields,28.0601332,,-82.4028919,,454063840,,,,,9,,,,,
158,P&R Lot 18 at Elm Drive,28.0601783,,-82.4026042,,454063841,16,,,,,,,,,
161,Athletics,28.0599226,,-82.4045813,,454063838,,,,,10,,,,,
162,Baseball Field,28.0598216,,-82.4048794,,454063837,15,,,,,,,,,
165,Sun Dome East,28.0576641,,-82.4054926,,454063852,,,,,11,,,,,
166,ERCCD,28.0576856,,-82.4053377,,454063853,14,,,,,,,,,
203,Engineering,28.0580609,,-82.4160442,,454063861,,,,19,15,,,,,
204,Research & Development,28.057739,,-82.4159423,,454063862,10,,,16,,,,,,
205,Alumni & Laurel South,28.0581775,,-82.4180747,,454063869,,,,20,,,,,,
206,UTC,28.058051,,-82.4178021,,828181805,,,,15,,,,,,
209,Science Center,28.0603432,,-82.4176764,,1041573056,,,,,16,,,,,
213,The Lakes,28.0612476,,-82.4194079,,454063884,,,,,17,,,,,
214,Juniper-Poplar,28.0601447,,-82.4177718,,1041573063,9,,,,,,,,,
217,Fine Arts,28.0625997,,-82.419021,,454063883,,,,,18,,,,,
221,PCD I,28.0638645,,-82.418921,,1055102500,,,,,19,,,,,
222,PCD II,28.0638645,,-82.4189853,,1055102515,7,,,,,,,,,
225,Eye Institute I,28.0650164,,-82.4188763,,454063893,,,,,20,,,,,
226,Eye Institute II,28.0649089,,-82.419023,,454063890,6,,,,,,,,,
230,Hope Lodge,28.0626315,,-82.4196424,,454063878,8,,,,,,,,,
238,47T east,28.0579898,,-82.4215107,,1055080239,,,,14,,,,,,
239,47T west,28.0581555,,-82.4215321,,1055080251,,,,21,,,,,,
240,Botanical Garden to Mall/MSC,28.05785,,-82.4230895,,456546513,,,,22,,,,,,
241,Botanical Garden to ADM,28.0578407,,-82.4228062,,456546518,,,,13,,,,,,
301,Theater,28.0647892,,-82.4146675,,655174250,,16,,33,,,,,,
