shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,28.0642789,-82.4136226,0
2,28.0642875,-82.4137242,1
2,28.0643834,-82.4137725,2
2,28.0644567,-82.4138476,3
2,28.0644665,-82.413914,4
2,28.0648118,-82.4138993,5
2,28.0648964,-82.4138957,6
2,28.065154,-82.4132176,7
2,28.0656663,-82.4132162,8
2,28.0656648,-82.4131127,9
2,28.0656587,-82.4125296,10
2,28.0656656,-82.4117907,11
2,28.0656662,-82.4117219,12
2,28.0657335,-82.4114205,13
2,28.065678,-82.4112482,14
2,28.0657109,-82.4107053,15
2,28.0657109,-82.4106221,16
2,28.0657069,-82.409479,17
2,28.0657114,-82.4093393,18
2,28.0657118,-82.4092181,19
2,28.0657118,-82.408278,20
2,28.0657111,-82.4080873,21
2,28.0655826,-82.4080869,22
2,28.0650195,-82.4080849,23
2,28.0649816,-82.408091,24
2,28.0648988,-82.4080845,25
2,28.0648483,-82.4080843,26
2,28.0647864,-82.4080842,27
2,28.0640455,-82.4080835,28
2,28.0637785,-82.4080805,29
2,28.0632799,-82.4080787,30
2,28.0631557,-82.4081019,31
2,28.0629708,-82.4081788,32
2,28.0628768,-82.4082154,33
2,28.0627456,-82.408295,34
2,28.0626833,-82.4083343,35
2,28.062559,-82.4084372,36
2,28.0624075,-82.4085402,37
2,28.062256,-82.4086175,38
2,28.0620763,-82.408682,39
2,28.0619475,-82.4087077,40
2,28.061849,-82.4087163,41
2,28.0618112,-82.4087163,42
2,28.0617513,-82.4087191,43
2,28.0616976,-82.4087249,44
2,28.0613281,-82.4087197,45
2,28.0611977,-82.4087249,46
2,28.0610548,-82.408726,47
2,28.0609485,-82.4087269,48
2,28.0608114,-82.4087228,49
2,28.0605638,-82.4087192,50
2,28.060516,-82.4087249,51
2,28.0604361,-82.4087669,52
2,28.0601637,-82.40872376,53
2,28.0601366,-82.4087668,54
2,28.0585607,-82.4087773,55
2,28.058223,-82.4087252,56
2,28.0572224,-82.4087668,57
2,28.057097,-82.4087695,58
2,28.0571413,-82.4088699,59
2,28.0571475,-82.408914,60
2,28.0571811,-82.4090688,61
2,28.057219,-82.4092919,62
2,28.0572417,-82.4094808,63
2,28.0572407,-82.409663,64
2,28.057272,-82.4098927,65
2,28.057272,-82.4105451,66
2,28.0572342,-82.4109141,67
2,28.0572417,-82.4114377,68
2,28.0572075,-82.4129613,69
2,28.0572069,-82.4131004,70
2,28.0573536,-82.4130997,71
2,28.0580326,-82.4130964,72
2,28.0586688,-82.4130934,73
2,28.0589585,-82.4130924,74
2,28.0598532,-82.4130876,75
2,28.0599571,-82.4130871,76
2,28.0601587,-82.4130887,77
2,28.0608729,-82.4130856,78
2,28.0609107,-82.4130839,79
2,28.0609334,-82.4130856,80
2,28.0610705,-82.4130834,81
2,28.061116,-82.4131435,82
2,28.0611311,-82.4132207,83
2,28.061116,-82.4132979,84
2,28.0610705,-82.4133409,85
2,28.0609334,-82.4133516,86
2,28.060888,-82.4133516,87
2,28.0606409,-82.4133339,88
2,28.0602232,-82.4133381,89
2,28.0601581,-82.4133381,90
2,28.0600353,-82.4133385,91
2,28.059952,-82.4133385,92
2,28.0590457,-82.4133454,93
2,28.0573561,-82.4133319,94
2,28.0572235,-82.4133327,95
2,28.0572069,-82.4131004,96
