shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3,28.0643789,-82.4136326,0
3,28.0642875,-82.4137242,1
3,28.0643834,-82.4137725,2
3,28.0644567,-82.4138476,3
3,28.0644665,-82.413914,4
3,28.0648118,-82.4138993,5
3,28.0648964,-82.4138957,6
3,28.0648947,-82.4142647,7
3,28.0648933,-82.4142865,8
3,28.0648954,-82.4143821,9
3,28.0648935,-82.4145271,10
3,28.0648925,-82.4145894,11
3,28.0648936,-82.4147197,12
3,28.0648934,-82.4150247,13
3,28.0648951,-82.4153359,14
3,28.0648964,-82.4155608,15
3,28.0648944,-82.4161272,16
3,28.0648938,-82.4162826,17
3,28.0648932,-82.4164449,18
3,28.064889,-82.416544,19
3,28.0648925,-82.4165662,20
3,28.0648931,-82.4166852,21
3,28.064893,-82.41681,22
3,28.0649159,-82.4170309,23
3,28.064938,-82.4171059,24
3,28.0649765,-82.4172369,25
3,28.065051,-82.41737,26
3,28.065181,-82.4175973,27
3,28.0653552,-82.4177862,28
3,28.0654501,-82.4178564,29
3,28.0654859,-82.4178804,30
3,28.0655218,-82.4179063,31
3,28.0656069,-82.417969,32
3,28.0656733,-82.4180179,33
3,28.065794,-82.418131,34
3,28.0659232,-82.4183612,35
3,28.0659914,-82.4185415,36
3,28.0660141,-82.418696,37
3,28.0660191,-82.4188595,38
3,28.0660217,-82.4189449,39
3,28.066025,-82.4190574,40
3,28.0660362,-82.4192041,41
3,28.0660247,-82.4203542,42
3,28.0660217,-82.4204813,43
3,28.0660226,-82.420628,44
3,28.0660268,-82.4209078,45
3,28.0661398,-82.4235901,46
3,28.0660401,-82.4236032,47
3,28.0660401,-82.4240495,48
3,28.0660174,-82.4242555,49
3,28.0659568,-82.4244529,50
3,28.0659221,-82.4244998,51
3,28.0658303,-82.424692,52
3,28.0657111,-82.4248544,53
3,28.0656766,-82.4249164,54
3,28.065617,-82.4250924,55
3,28.065582,-82.425245,56
3,28.0655478,-82.4254828,57
3,28.0655478,-82.4256974,58
3,28.0655456,-82.4259609,59
3,28.0655711,-82.4261564,60
3,28.0655688,-82.4273285,61
3,28.065534,-82.4283892,62
3,28.0655264,-82.4294278,63
3,28.0655232,-82.4303113,64
3,28.0655256,-82.4304346,65
3,28.065528,-82.4314753,66
3,28.065526,-82.4315657,67
3,28.0655236,-82.4320994,68
3,28.0655232,-82.4325107,69
3,28.0655209,-82.43309,70
3,28.065528,-82.4335594,71
3,28.0655351,-82.4345894,72
3,28.0635941,-82.434485,73
3,28.0612988,-82.4345713,74
3,28.0605618,-82.434566,75
3,28.059878,-82.434561,76
3,28.05986,-82.435543,77
3,28.059825,-82.435625,78
3,28.059448,-82.435629,79
3,28.0594369,-82.4356333,80
3,28.0591946,-82.4356322,81
3,28.0591899,-82.4338542,82
3,28.058636,-82.4338595,83
3,28.0585958,-82.4337871,84
3,28.0586313,-82.4336933,85
3,28.0587023,-82.4335833,86
3,28.0587094,-82.433476,87
3,28.0586975,-82.4330871,88
3,28.0586975,-82.4326606,89
3,28.0587524,-82.4325696,90
3,28.0588254,-82.4324916,91
3,28.058706,-82.432098,92
3,28.058366,-82.431232,93
3,28.0583317,-82.4311714,94
3,28.057988,-82.4305734,95
3,28.057579,-82.4305648,96
3,28.0569579,-82.4305648,97
3,28.056957,-82.4296525,98
3,28.0569708,-82.4280875,99
3,28.0569653,-82.4280627,100
3,28.0569678,-82.4275795,101
3,28.0569888,-82.427071,102
3,28.0569982,-82.426843,103
3,28.0569982,-82.4261751,104
3,28.0569746,-82.425982,105
3,28.0569698,-82.4258613,106
3,28.0569817,-82.4250486,107
3,28.0569879,-82.4231855,108
3,28.0569954,-82.4230911,109
3,28.0570485,-82.4229881,110
3,28.0571242,-82.4229538,111
3,28.0572075,-82.4229624,112
3,28.0578707,-82.4228962,113
3,28.0580043,-82.4229479,114
3,28.0580952,-82.4229479,115
3,28.0580758,-82.4215107,116
