shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4,28.0642789,-82.4137326,0
4,28.0642875,-82.4137242,1
4,28.0643834,-82.4137725,2
4,28.0644567,-82.4138476,3
4,28.0644665,-82.413914,4
4,28.0648118,-82.4138993,5
4,28.0648964,-82.4138957,6
4,28.0648889,-82.4134065,7
4,28.064918,-82.413326,8
4,28.0649722,-82.4132434,9
4,28.0650555,-82.4132176,10
4,28.065154,-82.4132176,11
4,28.0656663,-82.4132162,12
4,28.0656648,-82.4131127,13
4,28.0656587,-82.4125296,14
4,28.0656656,-82.4117907,15
4,28.0656662,-82.4117219,16
4,28.065668,-82.4113082,17
4,28.0657109,-82.4107053,18
4,28.0657109,-82.4106221,19
4,28.0657069,-82.409479,20
4,28.0657114,-82.4093393,21
4,28.0657118,-82.4092181,22
4,28.0657118,-82.408278,23
4,28.0657111,-82.4080873,24
4,28.0658225,-82.4080709,25
4,28.0664717,-82.4079635,26
4,28.0675944,-82.4077809,27
4,28.0676218,-82.407775,28
4,28.0676228,-82.4076683,29
4,28.0675305,-82.40762,30
4,28.0674973,-82.4075234,31
4,28.0675186,-82.4074349,32
4,28.0675802,-82.4073813,33
4,28.0676702,-82.4073798,34
4,28.0677308,-82.4074313,35
4,28.067769,-82.4075317,36
4,28.0677239,-82.4076158,37
4,28.0676559,-82.4076656,38
4,28.067655,-82.4077746,39
4,28.0676318,-82.407775,40
4,28.0676044,-82.4077809,41
4,28.0665471,-82.4080008,42
4,28.0658325,-82.4080709,43
4,28.0657211,-82.4080873,44
4,28.065708,-82.4079204,45
4,28.065706,-82.4074348,46
4,28.0657095,-82.4073893,47
4,28.0657098,-82.4072595,48
4,28.0657092,-82.4069135,49
4,28.0657026,-82.4059338,50
4,28.065701,-82.4056975,51
4,28.0657086,-82.4055516,52
4,28.0657313,-82.4052426,53
4,28.0657826,-82.4049209,54
4,28.0658584,-82.4046119,55
4,28.0659845,-82.4041464,56
4,28.066233,-82.403403,57
4,28.066339,-82.402767,58
4,28.0662507,-82.4027684,59
4,28.0656081,-82.4027674,60
4,28.0655178,-82.4027673,61
4,28.0645855,-82.4027614,62
4,28.0635759,-82.4027605,63
4,28.0619195,-82.4027528,64
4,28.0600191,-82.4027415,65
4,28.0598622,-82.4027326,66
4,28.0597782,-82.4027318,67
4,28.059786,-82.4028523,68
4,28.0597859,-82.4035759,69
4,28.0597857,-82.4044828,70
4,28.0598,-82.404627,71
4,28.0597826,-82.4046413,72
4,28.059938,-82.4049545,73
4,28.0599902,-82.405075,74
4,28.0599003,-82.4051206,75
4,28.0597185,-82.4052064,76
4,28.0596616,-82.4052126,77
4,28.0594837,-82.4052321,78
4,28.0589762,-82.4052321,79
4,28.0589188,-82.4052327,80
4,28.0585578,-82.4052365,81
4,28.058037,-82.4053351,82
4,28.0577672,-82.4054178,83
4,28.0576853,-82.4054429,84
4,28.0576095,-82.405459,85
4,28.0575147,-82.4054829,86
4,28.0574538,-82.4054982,87
4,28.0572114,-82.405524,88
4,28.0569499,-82.4055152,89
4,28.0568981,-82.4055079,90
4,28.0565828,-82.4054639,91
4,28.0566285,-82.4067231,92
4,28.0566358,-82.406923,93
4,28.0566491,-82.4072487,94
4,28.0566509,-82.4072921,95
4,28.0566737,-82.4076182,96
4,28.0567115,-82.4078242,97
4,28.0567418,-82.4079186,98
4,28.056863,-82.4082276,99
4,28.0569671,-82.4084493,100
4,28.0570188,-82.4085737,101
4,28.0570591,-82.4086702,102
4,28.057097,-82.4087695,103
4,28.0571413,-82.4088699,104
4,28.0571475,-82.408914,105
4,28.0571811,-82.4090688,106
4,28.057219,-82.4092919,107
4,28.0572417,-82.4094808,108
4,28.0572507,-82.409663,109
4,28.057272,-82.4098927,110
4,28.057272,-82.4105451,111
4,28.0572342,-82.4109141,112
4,28.0572417,-82.4114377,113
4,28.0572075,-82.4129613,114
4,28.0572069,-82.4131004,115
4,28.0573536,-82.4130997,116
4,28.0580326,-82.4130964,117
4,28.0586688,-82.4130934,118
4,28.0589585,-82.4130824,119
4,28.0598532,-82.4130876,120
4,28.0599571,-82.4130871,121
4,28.0601587,-82.4130887,122
4,28.0608729,-82.4130856,123
4,28.0609107,-82.4130839,124
4,28.0609334,-82.4130856,125
4,28.0610705,-82.4130834,126
4,28.061116,-82.4131435,127
4,28.0611311,-82.4132207,128
4,28.061116,-82.4132979,129
4,28.0610705,-82.4133409,130
4,28.0609334,-82.4133516,131
4,28.060888,-82.4133516,132
4,28.0606409,-82.4133339,133
4,28.0602232,-82.4133381,134
4,28.0601581,-82.4133381,135
4,28.0600353,-82.4133385,136
4,28.059952,-82.4133385,137
4,28.0590457,-82.4133454,138
4,28.0573561,-82.4133319,139
4,28.0572235,-82.4133327,140
4,28.0572224,-82.4134684,141
4,28.0572531,-82.4140533,142
4,28.0572966,-82.4143149,143
4,28.057381,-82.414652,144
4,28.0575265,-82.415002,145
4,28.0575568,-82.4150706,146
4,28.0577023,-82.4154056,147
4,28.0578225,-82.4156875,148
4,28.0578742,-82.4158128,149
4,28.0578967,-82.4158758,150
4,28.057928,-82.4159633,151
4,28.0579509,-82.4160942,152
4,28.0579719,-82.416124,153
4,28.0580181,-82.4163535,154
4,28.0580377,-82.4165384,155
4,28.0580467,-82.416623,156
4,28.0580636,-82.4167827,157
4,28.0580899,-82.417233,158
4,28.0580861,-82.4176277,159
4,28.0580866,-82.4176938,160
4,28.0581507,-82.4176948,161
4,28.0590284,-82.4177017,162
4,28.0591386,-82.4177073,163
4,28.0592529,-82.417709,164
4,28.0595,-82.4177132,165
4,28.0601741,-82.4177218,166
4,28.0603432,-82.4177264,167
4,28.0603994,-82.417721,168
4,28.0607478,-82.417721,169
4,28.0608614,-82.4177639,170
4,28.060922,-82.4178239,171
4,28.0609675,-82.4179012,172
4,28.0609978,-82.417987,173
4,28.061028,-82.41809,174
4,28.061028,-82.4184934,175
4,28.061028,-82.4191764,176
4,28.061028,-82.4193946,177
4,28.0610432,-82.4194719,178
4,28.0610735,-82.4195491,179
4,28.0610937,-82.4195863,180
4,28.0611341,-82.4196607,181
4,28.0612455,-82.4195959,182
4,28.0612506,-82.4196079,183
4,28.0615064,-82.4194613,184
4,28.0617714,-82.419413,185
4,28.0620081,-82.4194077,186
4,28.0622685,-82.4194291,187
4,28.0625626,-82.4195096,188
4,28.0626286,-82.4195285,189
4,28.0626137,-82.4194023,190
4,28.0626141,-82.4192197,191
4,28.0626361,-82.4191251,192
4,28.0626597,-82.419071,193
4,28.0626664,-82.4190307,194
4,28.0627573,-82.4189449,195
4,28.063144,-82.418951,196
4,28.0632269,-82.4189523,197
4,28.0637587,-82.4189481,198
4,28.0637954,-82.4189479,199
4,28.0638645,-82.418957,200
4,28.0638971,-82.4189489,201
4,28.0639239,-82.4189492,202
4,28.06398,-82.4189492,203
4,28.0640043,-82.4189492,204
4,28.0640091,-82.4189127,205
4,28.0640182,-82.4188906,206
4,28.0640399,-82.418863,207
4,28.0640596,-82.4188495,208
4,28.0640979,-82.4188401,209
4,28.0641363,-82.4188493,210
4,28.0641633,-82.41887,211
4,28.0641778,-82.4188904,212
4,28.0641899,-82.4189247,213
4,28.0641918,-82.4189483,214
4,28.0642155,-82.4189482,215
4,28.0645052,-82.4189473,216
4,28.0648507,-82.4189462,217
4,28.0648885,-82.4189456,218
4,28.0650164,-82.4189463,219
4,28.0650202,-82.4189455,220
4,28.0653549,-82.4189453,221
4,28.0654344,-82.4189452,222
4,28.0659679,-82.4189449,223
4,28.0660217,-82.4189449,224
4,28.0660191,-82.4188595,225
4,28.0660141,-82.418696,226
4,28.0659914,-82.4185415,227
4,28.0659232,-82.4183612,228
4,28.065794,-82.418131,229
4,28.0656733,-82.4180179,230
4,28.0656069,-82.417969,231
4,28.0656609,-82.4178752,232
4,28.0658117,-82.4176132,233
4,28.0658211,-82.4175969,234
4,28.0658992,-82.4176103,235
4,28.0659489,-82.4176612,236
4,28.0659939,-82.4176826,237
4,28.0664176,-82.41768,238
4,28.0666637,-82.417677,239
4,28.0668531,-82.4176505,240
4,28.0671039,-82.4176547,241
4,28.0671749,-82.4176559,242
4,28.0672643,-82.417688,243
4,28.0673476,-82.4177824,244
4,28.0674227,-82.4179031,245
4,28.067439,-82.4179292,246
4,28.0677081,-82.4177442,247
4,28.0677636,-82.4176574,248
4,28.0678021,-82.4175662,249
4,28.0678242,-82.4172884,250
4,28.0678242,-82.4171367,251
4,28.0678242,-82.416859,252
4,28.0678242,-82.416505,253
4,28.0678255,-82.4160802,254
4,28.0678242,-82.4159779,255
4,28.0678242,-82.4158893,256
4,28.0678166,-82.4158035,257
4,28.067809,-82.4157262,258
4,28.0677333,-82.4154773,259
4,28.067703,-82.4153743,260
4,28.0676811,-82.4152242,261
4,28.0676801,-82.4149951,262
4,28.0677002,-82.4148343,263
