shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1337734,28.0519262,-82.4015845,0,null
1337734,28.0532267,-82.4018095,1,null
1337734,28.0481539,-82.4015547,2,null
1337734,28.0481965,-82.4018122,3,null
1337734,28.0508049,-82.4016651,4,null
1337734,28.0519917,-82.4016808,5,null
1337734,28.0529639,-82.4017170,6,null
1337734,28.0532680,-82.4017289,7,null
1337734,28.0533803,-82.4017325,8,null
1337734,28.0534586,-82.4017345,9,null
1337734,28.0538128,-82.4017438,10,null
1337734,28.0541908,-82.4017537,11,null
1337734,28.0543500,-82.4017727,12,null
1337734,28.0471917,-82.4016543,13,null
1337734,28.0480670,-82.4016450,14,null
1337734,28.0487610,-82.4016530,15,null
1337734,28.0494238,-82.4016637,16,null
1337734,28.0496913,-82.4016567,17,null
1337734,28.0506581,-82.4016671,18,null
1337734,28.0508049,-82.4016651,19,null
1337734,28.0435740,-82.4016780,20,null
1337734,28.0442803,-82.4016551,21,null
1337734,28.0449848,-82.4016465,22,null
1337734,28.0456514,-82.4016465,23,null
1337734,28.0463559,-82.4016551,24,null
1337734,28.0471917,-82.4016543,25,null
1337734,28.0435950,-82.4099000,26,null
1337734,28.0435900,-82.4091090,27,null
1337734,28.0435890,-82.4083300,28,null
1337734,28.0435920,-82.4075520,29,null
1337734,28.0435940,-82.4067850,30,null
1337734,28.0435983,-82.4060212,31,null
1337734,28.0435991,-82.4058817,32,null
1337734,28.0435980,-82.4052530,33,null
1337734,28.0436000,-82.4044900,34,null
1337734,28.0435960,-82.4037170,35,null
1337734,28.0435790,-82.4027900,36,null
1337734,28.0435740,-82.4016780,37,null
1337734,28.0437177,-82.4037863,38,null
1337734,28.0434905,-82.4036254,39,null
1337734,28.0435189,-82.4082388,40,null
1337734,28.0437414,-82.4083997,41,null
1337734,28.0435921,-82.4107332,42,null
1337734,28.0435950,-82.4099000,43,null
1337734,28.0435933,-82.4107389,44,null
1337734,28.0436240,-82.4108834,45,null
1337734,28.0436090,-82.4127029,46,null
1337734,28.0435848,-82.4128441,47,null
1337734,28.0435848,-82.4128441,48,null
1337734,28.0435529,-82.4127013,49,null
1337734,28.0435600,-82.4109203,50,null
1337734,28.0435933,-82.4107389,51,null
1337734,28.0435830,-82.4163385,52,null
1337734,28.0435830,-82.4161926,53,null
1337734,28.0435829,-82.4161084,54,null
1337734,28.0435797,-82.4142967,55,null
1337734,28.0435848,-82.4128441,56,null
1337734,28.0443471,-82.4160499,57,null
1337734,28.0466484,-82.4164839,58,null
1337734,28.0435830,-82.4161926,59,null
1337734,28.0437484,-82.4161942,60,null
1337734,28.0458122,-82.4162146,61,null
1337734,28.0466730,-82.4162188,62,null
1337734,28.0468022,-82.4162131,63,null
1337734,28.0490898,-82.4162096,64,null
1337734,28.0500247,-82.4162082,65,null
1337734,28.0503497,-82.4162077,66,null
1337734,28.0515212,-82.4161932,67,null
1337734,28.0526124,-82.4161840,68,null
1337734,28.0533017,-82.4162012,69,null
1337734,28.0543001,-82.4161979,70,null
1337734,28.0543784,-82.4161976,71,null
1337734,28.0545624,-82.4163280,72,null
1337734,28.0543784,-82.4163183,73,null
1337734,28.0542970,-82.4163213,74,null
1337734,28.0530924,-82.4163299,75,null
1337734,28.0525969,-82.4163128,76,null
1337734,28.0522109,-82.4163089,77,null
1337734,28.0515216,-82.4163136,78,null
1337734,28.0503520,-82.4163216,79,null
1337734,28.0500294,-82.4163255,80,null
1337734,28.0490901,-82.4163323,81,null
1337734,28.0477745,-82.4163418,82,null
1337734,28.0468024,-82.4163489,83,null
1337734,28.0466784,-82.4163558,84,null
1337734,28.0458488,-82.4163573,85,null
1337734,28.0457277,-82.4163467,86,null
1337734,28.0437531,-82.4163393,87,null
1337734,28.0435830,-82.4163385,88,null
1337734,28.0505350,-82.4160767,89,null
1337734,28.0509138,-82.4164844,90,null
1337734,28.0535886,-82.4160526,91,null
1337734,28.0534560,-82.4164415,92,null
1337734,28.0543784,-82.4161976,93,null
1337734,28.0543771,-82.4161378,94,null
1337734,28.0543737,-82.4145052,95,null
1337734,28.0543713,-82.4140787,96,null
1337734,28.0543714,-82.4133603,97,null
1337734,28.0543713,-82.4130863,98,null
1337734,28.0545527,-82.4133602,99,null
1337734,28.0545562,-82.4160970,100,null
1337734,28.0545564,-82.4161818,101,null
1337734,28.0545624,-82.4163280,102,null
1337734,28.0572235,-82.4133327,103,null
1337734,28.0571262,-82.4133335,104,null
1337734,28.0559730,-82.4133494,105,null
1337734,28.0546987,-82.4133591,106,null
1337734,28.0545527,-82.4133602,107,null
1337734,28.0543713,-82.4130863,108,null
1337734,28.0545566,-82.4130834,109,null
1337734,28.0545566,-82.4130834,110,null
1337734,28.0546935,-82.4130834,111,null
1337734,28.0553027,-82.4130834,112,null
1337734,28.0555110,-82.4130834,113,null
1337734,28.0560297,-82.4130886,114,null
1337734,28.0571188,-82.4130918,115,null
1337734,28.0572219,-82.4130934,116,null
1337734,28.0596776,-82.4133430,117,null
1337734,28.0593155,-82.4133456,118,null
1337734,28.0590457,-82.4133454,119,null
1337734,28.0590184,-82.4133452,120,null
1337734,28.0586078,-82.4133416,121,null
1337734,28.0573476,-82.4133337,122,null
1337734,28.0572235,-82.4133327,123,null
1337734,28.0572219,-82.4130934,124,null
1337734,28.0573505,-82.4130950,125,null
1337734,28.0580326,-82.4130964,126,null
1337734,28.0586832,-82.4130967,127,null
1337734,28.0590185,-82.4130917,128,null
1337734,28.0593131,-82.4130902,129,null
1337734,28.0596764,-82.4130885,130,null
1337734,28.0596764,-82.4130885,131,null
1337734,28.0597216,-82.4131347,132,null
1337734,28.0597370,-82.4131896,133,null
1337734,28.0597357,-82.4132616,134,null
1337734,28.0597098,-82.4133064,135,null
1337734,28.0596776,-82.4133430,136,null
1337734,28.0543500,-82.4017727,137,null
1337734,28.0545063,-82.4017942,138,null
1337734,28.0545063,-82.4017942,139,null
1337734,28.0555567,-82.4018020,140,null
1337734,28.0561296,-82.4018012,141,null
1337734,28.0562310,-82.4018018,142,null
1337734,28.0572039,-82.4018072,143,null
1337734,28.0582170,-82.4018159,144,null
1337734,28.0592460,-82.4018452,145,null
1337734,28.0593579,-82.4018484,146,null
1337734,28.0597635,-82.4018524,147,null
1337734,28.0603659,-82.4018620,148,null
1337734,28.0630739,-82.4018655,149,null
1337734,28.0634250,-82.4018635,150,null
1337734,28.0637752,-82.4018639,151,null
1337734,28.0645456,-82.4018682,152,null
1337734,28.0662739,-82.4018732,153,null
1337734,28.0663751,-82.4018765,154,null
1337734,28.0663390,-82.4027670,155,null
1337734,28.0663456,-82.4025129,156,null
1337734,28.0663490,-82.4023820,157,null
1337734,28.0663560,-82.4021040,158,null
1337734,28.0663751,-82.4018765,159,null
1337734,28.0659845,-82.4041464,160,null
1337734,28.0662330,-82.4034030,161,null
1337734,28.0663390,-82.4027670,162,null
1337734,28.0657826,-82.4049209,163,null
1337734,28.0658584,-82.4046119,164,null
1337734,28.0659845,-82.4041464,165,null
1337734,28.0657111,-82.4080873,166,null
1337734,28.0657080,-82.4079204,167,null
1337734,28.0657095,-82.4073893,168,null
1337734,28.0657098,-82.4072595,169,null
1337734,28.0657092,-82.4069135,170,null
1337734,28.0657026,-82.4059338,171,null
1337734,28.0657010,-82.4056975,172,null
1337734,28.0657086,-82.4055516,173,null
1337734,28.0657313,-82.4052426,174,null
1337734,28.0657826,-82.4049209,175,null
1337734,28.0657109,-82.4107053,176,null
1337734,28.0657109,-82.4106221,177,null
1337734,28.0657114,-82.4093393,178,null
1337734,28.0657118,-82.4092181,179,null
1337734,28.0657113,-82.4082893,180,null
1337734,28.0657111,-82.4080873,181,null
1337734,28.0657109,-82.4107053,182,null
1337734,28.0657335,-82.4114205,183,null
1337734,28.0657408,-82.4117195,184,null
1337734,28.0657416,-82.4117893,185,null
1337734,28.0657420,-82.4125296,186,null
1337734,28.0657420,-82.4131150,187,null
1337734,28.0657420,-82.4132162,188,null
1337734,28.0656663,-82.4132162,189,null
1337734,28.0656648,-82.4131127,190,null
1337734,28.0656587,-82.4125296,191,null
1337734,28.0656655,-82.4117882,192,null
1337734,28.0656669,-82.4117171,193,null
1337734,28.0657109,-82.4107053,194,null
1337734,28.0656663,-82.4132162,195,null
1337734,28.0657420,-82.4132162,196,null
1337734,28.0651540,-82.4132176,197,null
1337734,28.0656663,-82.4132162,198,null
1337734,28.0648968,-82.4139029,199,null
1337734,28.0648889,-82.4134065,200,null
1337734,28.0649180,-82.4133260,201,null
1337734,28.0649722,-82.4132434,202,null
1337734,28.0650555,-82.4132176,203,null
1337734,28.0651540,-82.4132176,204,null
1337734,28.0648968,-82.4139029,205,null
1337734,28.0648184,-82.4139041,206,null
1337734,28.0644665,-82.4139140,207,null
1337734,28.0644665,-82.4139140,208,null
1337734,28.0644354,-82.4139737,209,null
1337734,28.0643550,-82.4140313,210,null
1337734,28.0642816,-82.4140394,211,null
1337734,28.0642236,-82.4140139,212,null
1337734,28.0642239,-82.4139482,213,null
1337734,28.0642248,-82.4137255,214,null
1337734,28.0642875,-82.4137242,215,null
1337734,28.0643834,-82.4137725,216,null
1337734,28.0644567,-82.4138476,217,null
1337734,28.0644665,-82.4139140,218,null
1337734,28.0642789,-82.4136326,219,null
1337734,28.0656080,-82.4112482,220,null
1337734,28.0658117,-82.4098152,221,null
1337734,28.0656169,-82.4094790,222,null
1337734,28.0656660,-82.4075048,223,null
1337734,28.0657950,-82.4074325,224,null
1337734,28.0662779,-82.4024860,225,null
1337734,28.0662359,-82.4017507,226,null
1337734,28.0634724,-82.4019839,227,null
1337734,28.0634675,-82.4017881,228,null
1337734,28.0592351,-82.4016624,229,null
1337734,28.0593040,-82.4019447,230,null
1337734,28.0435092,-82.4135713,231,null
1337734,28.0436552,-82.4140997,232,null
1337734,28.0591628,-82.4130271,233,null
1337734,28.0591688,-82.4134026,234,null
1334825,28.0691753,-82.4139824,0,null
1334825,28.0693046,-82.4139820,1,null
1334825,28.0702589,-82.4139866,2,null
1334825,28.0715264,-82.4139975,3,null
1334825,28.0718967,-82.4139990,4,null
1334825,28.0719842,-82.4139992,5,null
1334825,28.0723780,-82.4140000,6,null
1334825,28.0728362,-82.4140065,7,null
1334825,28.0733152,-82.4140132,8,null
1334825,28.0739722,-82.4140151,9,null
1334825,28.0743179,-82.4140203,10,null
1334825,28.0743429,-82.4140207,11,null
1334825,28.0760381,-82.4140481,12,null
1334825,28.0762734,-82.4140481,13,null
1334825,28.0773283,-82.4140526,14,null
1334825,28.0784263,-82.4140955,15,null
1334825,28.0784997,-82.4141035,16,null
1334825,28.0793820,-82.4141510,17,null
1334825,28.0796050,-82.4141590,18,null
1334825,28.0803803,-82.4141866,19,null
1334825,28.0782938,-82.4141680,20,null
1334825,28.0720765,-82.4140796,21,null
1334825,28.0690546,-82.4139851,22,null
1334825,28.0691753,-82.4139824,23,null
1334825,28.0690546,-82.4139851,24,null
1334825,28.0690475,-82.4131939,25,null
1334825,28.0803803,-82.4141866,26,null
1334825,28.0803774,-82.4133108,27,null
1334825,28.0803703,-82.4128066,28,null
1334825,28.0803827,-82.4116439,29,null
1334825,28.0803840,-82.4115170,30,null
1334825,28.0803585,-82.4103175,31,null
1334825,28.0804166,-82.4126525,32,null
1334825,28.0804497,-82.4113221,33,null
1334825,28.0770798,-82.4099381,34,null
1334825,28.0690452,-82.4098734,35,null
1334825,28.0691729,-82.4098706,36,null
1334825,28.0692415,-82.4098700,37,null
1334825,28.0695433,-82.4098673,38,null
1334825,28.0697693,-82.4098702,39,null
1334825,28.0702023,-82.4098757,40,null
1334825,28.0706010,-82.4098830,41,null
1334825,28.0711620,-82.4098880,42,null
1334825,28.0714139,-82.4098907,43,null
1334825,28.0718493,-82.4098953,44,null
1334825,28.0722018,-82.4099028,45,null
1334825,28.0723019,-82.4099049,46,null
1334825,28.0724746,-82.4099086,47,null
1334825,28.0726218,-82.4099125,48,null
1334825,28.0729702,-82.4099169,49,null
1334825,28.0732164,-82.4099221,50,null
1334825,28.0737504,-82.4099333,51,null
1334825,28.0748078,-82.4099556,52,null
1334825,28.0748760,-82.4099570,53,null
1334825,28.0763170,-82.4099870,54,null
1334825,28.0767628,-82.4099980,55,null
1334825,28.0779000,-82.4100261,56,null
1334825,28.0793006,-82.4100878,57,null
1334825,28.0793649,-82.4100907,58,null
1334825,28.0802117,-82.4101029,59,null
1334825,28.0802946,-82.4101539,60,null
1334825,28.0803419,-82.4102370,61,null
1334825,28.0803585,-82.4103175,62,null
1334825,28.0749735,-82.4098576,63,null
1334825,28.0723004,-82.4098270,64,null
1334825,28.0690475,-82.4130785,65,null
1334825,28.0690439,-82.4126112,66,null
1334825,28.0690440,-82.4099810,67,null
1334825,28.0690452,-82.4098734,68,null
1334825,28.0676727,-82.4132114,69,null
1334825,28.0677775,-82.4132058,70,null
1334825,28.0678922,-82.4132000,71,null
1334825,28.0684147,-82.4131920,72,null
1334825,28.0689364,-82.4131982,73,null
1334825,28.0690475,-82.4131939,74,null
1334825,28.0690475,-82.4131939,75,null
1334825,28.0690475,-82.4130785,76,null
1334825,28.0657420,-82.4132162,77,null
1334825,28.0658406,-82.4132151,78,null
1334825,28.0663121,-82.4132133,79,null
