trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,07:00:00,07:00:00,401,1
1,07:01:04,07:01:04,414,2
1,07:01:38,07:01:38,330,3
1,07:02:15,07:02:15,328,4
1,07:02:55,07:02:55,326,5
1,07:03:38,07:03:38,226,6
1,07:04:01,07:04:01,222,7
1,07:04:31,07:04:31,230,8
1,07:05:37,07:05:37,214,9
1,07:06:41,07:06:41,204,10
1,07:07:45,07:07:45,102,11
1,07:08:26,07:08:26,101,12
1,07:10:40,07:10:40,130,13
1,07:11:43,07:11:43,166,14
1,07:12:31,07:12:31,162,15
1,07:13:16,07:13:16,158,16
1,07:14:23,07:14:23,154,17
1,07:15:16,07:15:16,150,18
1,07:16:49,07:16:49,446,19
1,07:17:09,07:17:09,430,20
1,07:17:48,07:17:48,426,21
1,07:18:31,07:18:31,418,22
2,07:00:00,07:00:00,401,1
2,07:01:04,07:01:04,414,2
2,07:01:38,07:01:38,330,3
2,07:02:15,07:02:15,328,4
2,07:02:55,07:02:55,326,5
2,07:03:38,07:03:38,226,6
2,07:04:01,07:04:01,222,7
2,07:04:31,07:04:31,230,8
2,07:05:37,07:05:37,214,9
2,07:06:41,07:06:41,204,10
2,07:07:45,07:07:45,102,11
2,07:08:26,07:08:26,101,12
2,07:10:40,07:10:40,130,13
2,07:11:43,07:11:43,166,14
2,07:12:31,07:12:31,162,15
2,07:13:16,07:13:16,158,16
2,07:14:23,07:14:23,154,17
2,07:15:16,07:15:16,150,18
2,07:16:49,07:16:49,446,19
2,07:17:09,07:17:09,430,20
2,07:17:48,07:17:48,426,21
2,07:18:31,07:18:31,418,22
3,07:00:00,07:00:00,401,1
3,07:01:04,07:01:04,414,2
3,07:01:38,07:01:38,330,3
3,07:02:15,07:02:15,328,4
3,07:02:55,07:02:55,326,5
3,07:03:25,07:03:25,312,6
3,07:03:59,07:03:59,314,7
3,07:05:08,07:05:08,317,8
3,07:06:03,07:06:03,340,9
3,07:06:21,07:06:21,342,10
3,07:06:39,07:06:39,344,11
3,07:07:21,07:07:21,346,12
3,07:09:05,07:09:05,311,13
3,07:09:31,07:09:31,305,14
3,07:10:06,07:10:06,303,15
3,07:10:39,07:10:39,301,16
4,07:00:00,07:00:00,401,1
4,07:01:04,07:01:04,414,2
4,07:01:38,07:01:38,330,3
4,07:02:15,07:02:15,328,4
4,07:02:55,07:02:55,326,5
4,07:03:25,07:03:25,312,6
4,07:03:59,07:03:59,314,7
4,07:05:08,07:05:08,317,8
4,07:06:03,07:06:03,340,9
4,07:06:21,07:06:21,342,10
4,07:06:39,07:06:39,344,11
4,07:07:21,07:07:21,346,12
4,07:09:05,07:09:05,311,13
4,07:09:31,07:09:31,305,14
4,07:10:06,07:10:06,303,15
4,07:10:39,07:10:39,301,16
5,07:00:00,07:00:00,401,1
5,07:00:55,07:00:55,421,2
5,07:01:30,07:01:30,425,3
5,07:01:58,07:01:58,115,4
5,07:03:20,07:03:20,119,5
5,07:03:46,07:03:46,121,6
5,07:04:29,07:04:29,125,7
5,07:04:55,07:04:55,129,8
5,07:06:10,07:06:10,102,9
5,07:06:48,07:06:48,103,10
5,07:08:36,07:08:36,126,11
5,07:09:15,07:09:15,122,12
5,07:09:40,07:09:40,120,13
5,07:11:00,07:11:00,116,14
5,07:11:43,07:11:43,426,15
5,07:12:26,07:12:26,418,16
5,07:13:02,07:13:02,414,17
5,07:13:31,07:13:31,410,18
5,07:15:18,07:15:18,801,19
5,07:16:17,07:16:17,803,20
5,07:17:04,07:17:04,807,21
5,07:18:23,07:18:23,813,22
5,07:18:49,07:18:49,815,23
5,07:19:45,07:19:45,821,24
5,07:20:32,07:20:32,827,25
5,07:22:02,07:22:02,829,26
5,07:23:36,07:23:36,411,27
5,07:23:52,07:23:52,413,28
6,07:00:00,07:00:00,401,1
6,07:00:55,07:00:55,421,2
6,07:01:30,07:01:30,425,3
6,07:01:58,07:01:58,115,4
6,07:03:20,07:03:20,119,5
6,07:03:46,07:03:46,121,6
6,07:04:29,07:04:29,125,7
6,07:04:55,07:04:55,129,8
6,07:06:10,07:06:10,102,9
6,07:06:48,07:06:48,103,10
6,07:08:36,07:08:36,126,11
6,07:09:15,07:09:15,122,12
6,07:09:40,07:09:40,120,13
6,07:11:00,07:11:00,116,14
6,07:11:43,07:11:43,426,15
6,07:12:26,07:12:26,418,16
6,07:13:02,07:13:02,414,17
6,07:13:31,07:13:31,410,18
6,07:15:18,07:15:18,801,19
6,07:16:17,07:16:17,803,20
6,07:17:04,07:17:04,807,21
6,07:18:23,07:18:23,813,22
6,07:18:49,07:18:49,815,23
6,07:19:45,07:19:45,821,24
6,07:20:32,07:20:32,827,25
6,07:22:02,07:22:02,829,26
6,07:23:36,07:23:36,411,27
6,07:23:52,07:23:52,413,28
7,14:30:00,14:30:00,401,1
7,14:30:55,14:30:55,421,2
7,14:31:30,14:31:30,425,3
7,14:31:58,14:31:58,115,4
