stop_id,stop_name,stop_lat,stop_lon,SignPost,Shelter(S),Shelter(B),MapCase,SideWalk,BikeRack,News Stand,HART,OSM Node ID,Comments
101,ADM I,28.0607591,-82.4134051,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,454063859,
102,Library,28.0589585,-82.4130024,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,454063857,
103,ADM II,28.0606409,-82.4134239,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,454063860,
115,Maple & Holly,28.0649816,-82.4082539,FALSE,TRUE,FALSE,B,TRUE,TRUE,FALSE,FALSE,617066627,
116,Tennis Courts,28.0647717,-82.4079661,FALSE,TRUE,FALSE,A,TRUE,FALSE,TRUE,FALSE,617066622,
119,SOC/HMS,28.0613281,-82.4088507,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,456526021,
120,CW Young Hall,28.0611956,-82.4085717,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,573393331,
121,Cooper Hall,28.0601637,-82.4088376,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,456523869,
122,Rec Center,28.0600642,-82.408633,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,456523866,
125,Business 1,28.058223,-82.4088252,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,456523861,
126,Sun Dome West,28.0582912,-82.4085935,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,456523864,
129,Business 2,28.0573207,-82.409663,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,454063856,
130,Patel Ctr,28.056722,-82.4083518,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,454063855,
150,P&R Lot 18 at Baptist Student Center,28.0656023,-82.4027142,FALSE,TRUE,FALSE,B,FALSE,FALSE,TRUE,FALSE,454063844,
151,P&R Lot 18 at Par Course,28.065607,-82.4028322,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063846,
154,P&R Lot 18 at Crosswinds,28.0631924,-82.4026265,FALSE,TRUE,FALSE,B,TRUE,FALSE,TRUE,FALSE,454063842,
155,P&R Lot 18 Softball Fields,28.0635379,-82.4028841,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063843,
157,P&R Lot 18 Soccer Fields,28.0601332,-82.4028919,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063840,
158,P&R Lot 18 at Elm Drive,28.0601783,-82.4026042,FALSE,TRUE,FALSE,B,FALSE,FALSE,TRUE,FALSE,454063841,
161,Athletics,28.0599226,-82.4045813,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063838,
162,Baseball Field,28.0598216,-82.4048794,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063837,
165,Sun Dome East,28.0576641,-82.4054926,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063852,
166,ERCCD,28.0576856,-82.4053377,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063853,
203,Engineering,28.0580609,-82.4160442,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,454063861,
204,Research & Development,28.057739,-82.4159423,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,454063862,
205,Alumni & Laurel South,28.0581775,-82.4180747,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,454063869,
206,UTC,28.058051,-82.4178021,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,828181805,
209,Science Center,28.0603432,-82.4176764,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,1041573056,
213,The Lakes,28.0612476,-82.4194079,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,TRUE,454063884,
214,Juniper-Poplar,28.0601447,-82.4177718,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,1041573063,
217,Fine Arts,28.0625997,-82.419021,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,454063883,
221,PCD I,28.0638645,-82.418921,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,1055102500,
222,PCD II,28.0638645,-82.4189853,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,1055102515,
225,Eye Institute I,28.0650164,-82.4188763,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063893,
226,Eye Institute II,28.0649089,-82.419023,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,454063890,
230,Hope Lodge,28.0626315,-82.4196424,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,454063878,
238,47T east,28.0579898,-82.4215107,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,1055080239,
239,47T west,28.0581555,-82.4215321,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,1055080251,
240,Botanical Garden to Mall/MSC,28.05785,-82.4230895,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,456546513,
241,Botanical Garden to ADM,28.0578407,-82.4228062,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,456546518,
301,Theater,28.0647892,-82.4146675,FALSE,TRUE,FALSE,C,TRUE,FALSE,FALSE,FALSE,655174250,
302,Post Office,28.0650233,-82.4142865,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,655174252,
